,input,label,predicted_label
0,1,other,other
1,2,other,other
2,3,fizz,other
3,4,other,other
4,5,buzz,other
5,6,fizz,other
6,7,other,other
7,8,other,other
8,9,fizz,other
9,10,buzz,other
10,11,other,other
11,12,fizz,other
12,13,other,other
13,14,other,other
14,15,fizzbuzz,fizzbuzz
15,16,other,other
16,17,other,other
17,18,fizz,fizz
18,19,other,other
19,20,buzz,other
20,21,fizz,fizz
21,22,other,other
22,23,other,other
23,24,fizz,other
24,25,buzz,buzz
25,26,other,other
26,27,fizz,fizz
27,28,other,other
28,29,other,other
29,30,fizzbuzz,other
30,31,other,other
31,32,other,other
32,33,fizz,other
33,34,other,other
34,35,buzz,other
35,36,fizz,other
36,37,other,other
37,38,other,other
38,39,fizz,other
39,40,buzz,other
40,41,other,other
41,42,fizz,other
42,43,other,other
43,44,other,other
44,45,fizzbuzz,fizzbuzz
45,46,other,other
46,47,other,other
47,48,fizz,fizz
48,49,other,other
49,50,buzz,other
50,51,fizz,fizz
51,52,other,other
52,53,other,other
53,54,fizz,other
54,55,buzz,buzz
55,56,other,other
56,57,fizz,fizz
57,58,other,other
58,59,other,other
59,60,fizzbuzz,fizzbuzz
60,61,other,other
61,62,other,other
62,63,fizz,other
63,64,other,other
64,65,buzz,other
65,66,fizz,fizz
66,67,other,other
67,68,other,other
68,69,fizz,fizz
69,70,buzz,other
70,71,other,other
71,72,fizz,other
72,73,other,other
73,74,other,other
74,75,fizzbuzz,fizzbuzz
75,76,other,other
76,77,other,other
77,78,fizz,fizz
78,79,other,other
79,80,buzz,other
80,81,fizz,fizz
81,82,other,other
82,83,other,other
83,84,fizz,fizz
84,85,buzz,buzz
85,86,other,other
86,87,fizz,fizz
87,88,other,other
88,89,other,other
89,90,fizzbuzz,fizzbuzz
90,91,other,other
91,92,other,other
92,93,fizz,fizz
93,94,other,other
94,95,buzz,other
95,96,fizz,other
96,97,other,other
97,98,other,other
98,99,fizz,other
99,100,buzz,other
